,Description,Release Date,Director Name,Rating,Duration,Genre,Stars,Filming Dates
The Shawshank Redemption ,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",25 September 1994,Frank Darabont,9.3/10,2h 22min,Drama,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",16 June 1993 - 10 September 1993
The Godfather ,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,19 March 1972,Francis Ford Coppol,9.2/10,2h 55min,"Crime, Drama","['Marlon Brando', 'Al Pacino', 'James Caan']",29 March 1971 - 6 August 1971
The Godfather: Part II ,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",10 November 2019,Francis Ford Coppol,9.0/10,3h 22min,"Crime, Drama","['Al Pacino', 'Robert De Niro', 'Robert Duvall']",1 October 1973 - 19 June 1974
The Dark Knight ,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",20 July 2008,Christopher Nolan,9.0/10,2h 32min,"Action, Crime, Drama","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",18 April 2007 - 11 November 2007
12 Angry Men ,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,not known,Sidney Lumet,9.0/10,1h 36min,"Crime, Drama","['Henry Fond', 'Lee J. Cobb', 'Martin Balsam']",June 1956 - July 1956
Schindler's List ,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",19 December 1993,Steven Spielberg,8.9/10,3h 15min,"Biography, Drama, History","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",1 March 1993 - 11 May 1993
The Lord of the Rings: The Return of the King ,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,21 December 2003,Peter Jackson,8.9/10,3h 21min,"Action, Adventure, Drama","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']",11 October 1999 - 22 December 2000
Pulp Fiction ,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",16 October 1994,Quentin Tarantino,8.9/10,2h 34min,"Crime, Drama","['John Travolt', 'Uma Thurman', 'Samuel L. Jackson']",20 September 1993 - 30 November 1993
"The Good, the Bad and the Ugly ",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,not known,Sergio Leone,8.8/10,2h 28min,Western,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",April 1966 - July 1966
The Lord of the Rings: The Fellowship of the Ring ,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,23 December 2001,David Fincher,8.8/10,2h 58min,Drama,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']",11 October 1999 - 22 December 2000
Fight Club ,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",17 October 1999,Todd Phillips,8.8/10,2h 19min,"Crime, Drama, Thriller","['Brad Pitt', 'Edward Norton', 'Meat Loaf']",1 June 1998 - 11 December 1998
Forrest Gump ,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",10 July 1994,Peter Jackson,8.8/10,2h 22min,"Action, Adventure, Drama","['Tom Hanks', 'Robin Wright', 'Gary Sinise']",27 August 1993 - 9 December 1993
Inception ,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,18 July 2010,Robert Zemeckis,8.8/10,2h 28min,"Drama, Romance","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']",19 June 2009 - 22 November 2009
The Lord of the Rings: The Two Towers ,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",22 December 2002,Christopher Nolan,8.7/10,2h 59min,"Action, Adventure, Sci-Fi","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",11 October 1999 - 22 December 2000
Star Wars: Episode V - The Empire Strikes Back ,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",25 May 1980,Irvin Kershner,8.7/10,2h 4min,"Action, Adventure, Fantasy","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",5 March 1979 - 24 September 1979
The Matrix ,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",4 April 1999,Peter Jackson,8.7/10,2h 16min,"Action, Adventure, Drama","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",14 March 1998 - 1 September 1998
